atomic_number,charge,p,val_band,val_e,n_HS,n_LS,mus_HS,mus_LS
21,3,0,d,0,0,0,0.00,0.00
22,2,2.83,d,2,2,2,2.83,2.83
22,3,1.73,d,1,1,1,1.73,1.73
22,4,0,d,0,0,0,0.00,0.00
23,2,3.87,d,3,3,3,3.87,3.87
23,3,2.83,d,2,2,2,2.83,2.83
23,4,1.73,d,1,1,1,1.73,1.73
24,2,4.9,d,4,4,2,4.90,2.83
24,3,3.87,d,3,3,3,3.87,3.87
24,4,2.83,d,2,2,2,2.83,2.83
25,2,5.92,d,5,5,1,5.92,1.73
25,3,4.9,d,4,4,2,4.90,2.83
25,4,3.87,d,3,3,3,3.87,3.87
26,2,4.9,d,6,4,0,4.90,0.00
26,3,5.92,d,5,5,1,5.92,1.73
26,4,4.9,d,4,4,2,4.90,2.83
27,2,3.87,d,7,3,1,3.87,1.73
27,3,4.9,d,6,4,0,4.90,0.00
27,4,5.92,d,5,5,1,5.92,1.73
28,2,2.83,d,8,2,2,2.83,2.83
28,3,3.87,d,7,3,1,3.87,1.73
28,4,4.9,d,6,4,0,4.90,0.00
29,1,0,d,10,0,0,0.00,0.00
29,2,1.73,d,9,1,1,1.73,1.73
29,3,2.83,d,8,2,2,2.83,2.83
39,3,8,d,0,0,0,0.00,0.00
40,4,0,d,0,0,0,0.00,0.00
41,3,2.83,d,2,2,2,2.83,2.83
41,4,1.73,d,1,1,1,1.73,1.73
42,3,3.87,d,3,3,3,3.87,3.87
42,4,2.83,d,2,2,2,2.83,2.83
43,4,3.87,d,3,3,3,3.87,3.87
44,3,5.92,d,5,5,1,5.92,1.73
44,4,4.9,d,4,4,2,4.90,2.83
45,3,4.9,d,6,4,0,4.90,0.00
45,4,5.92,d,5,5,1,5.92,1.73
46,1,1.73,d,9,1,1,1.73,1.73
46,2,2.83,d,8,2,2,2.83,2.83
46,3,3.87,d,7,3,1,3.87,1.73
46,4,4.9,d,6,4,0,4.90,0.00
47,1,0,d,10,0,0,0.00,0.00
47,2,1.73,d,9,1,1,1.73,1.73
47,3,2.83,d,8,2,2,2.83,2.83
48,2,0,d,10,0,0,0.00,0.00
57,3,0,f,0,0,0,0.00,0.00
58,3,3.58,f,1,1,1,1.73,1.73
58,4,0,f,0,0,0,0.00,0.00
59,3,3.58,f,2,2,0,2.83,0.00
59,4,2.54,f,1,1,1,1.73,1.73
60,2,2.68,f,4,4,2,4.90,2.83
60,3,3.62,f,3,3,1,3.87,1.73
61,3,2.68,f,4,4,2,4.90,2.83
62,2,0,f,6,6,2,6.93,2.83
62,3,0.84,f,5,5,3,5.92,3.87
63,2,7.94,f,7,7,1,7.94,1.73
63,3,3.4,f,6,6,2,6.93,2.83
64,3,7.94,f,7,7,1,7.94,1.73
65,3,9.72,f,8,6,0,6.93,0.00
65,4,7.94,f,7,7,1,7.94,1.73
66,2,10.6,f,10,4,2,4.90,2.83
66,3,10.63,f,9,5,1,5.92,1.73
67,3,10.6,f,10,4,2,4.90,2.83
68,3,9.59,f,11,3,3,3.87,3.87
69,2,4.54,f,13,1,1,1.73,1.73
69,3,7.57,f,12,2,2,2.83,2.83
70,2,0,f,14,0,0,0.00,0.00
70,3,4.54,f,13,1,1,1.73,1.73
71,3,0,d,0,0,0,0.00,0.00
72,4,0,d,0,0,0,0.00,0.00
73,3,0,d,0,0,0,0.00,0.00
73,4,0,d,0,0,0,0.00,0.00
74,4,2.83,d,2,2,2,2.83,2.83
75,4,3.87,d,3,3,3,3.87,3.87
76,4,4.9,d,4,4,2,4.90,2.83
77,3,4.9,d,6,4,0,4.90,0.00
77,4,5.92,d,5,5,1,5.92,1.73
78,2,2.83,d,8,2,2,2.83,2.83
78,4,4.9,d,6,4,1,4.90,1.73
79,1,0,d,10,0,0,0.00,0.00
79,3,2.83,d,8,2,2,2.83,2.83
80,1,0,d,10,0,0,0.00,0.00
80,2,0,d,10,0,0,0.00,0.00
89,3,0,f,0,0,0,0.00,0.00
90,3,2.54,f,1,1,1,1.73,1.73
90,4,0,f,0,0,0,0.00,0.00
91,3,3.58,f,2,2,0,2.83,0.00
91,4,2.54,f,1,1,1,1.73,1.73
92,3,3.62,f,3,3,1,3.87,1.73
92,4,3.58,f,2,2,0,2.83,0.00
93,2,0.84,f,5,5,3,5.92,3.87
93,3,2.68,f,4,4,2,4.90,2.83
93,4,3.62,f,3,3,1,3.87,1.73
94,3,0.84,f,5,5,3,5.92,3.87
94,4,2.68,f,4,4,2,4.90,2.83
95,2,7.94,f,7,7,1,7.94,1.73
95,3,0,f,6,6,2,6.93,2.83
95,4,0.84,f,5,5,1,5.92,1.73
96,3,7.94,f,7,7,1,7.94,1.73
96,4,0,f,6,6,2,6.93,2.83
97,3,9.72,f,8,6,0,6.93,0.00
97,4,7.94,f,7,7,1,7.94,1.73
98,3,10.64,f,9,5,1,5.92,1.73
98,4,9.72,f,8,6,0,6.93,0.00
99,3,10.6,f,10,4,2,4.90,2.83
